U,TimeOfDay,DayOfWeek,Seasonality,Age,Gender,Location,PurchaseHistory,DeviceType,A,P_click,R
4,Morning,Tuesday,Spring,45-54,Male,North,No purchases,Tablet,0.95,0.6240467869011762,0
1,Morning,Wednesday,Fall,35-44,Male,South,1-5 purchases,Mobile,0.35,0.5272953470591957,1
4,Evening,Saturday,Spring,45-54,Male,West,No purchases,Tablet,0.95,0.6780536748216499,0
1,Afternoon,Monday,Fall,18-24,Male,East,1-5 purchases,Tablet,0.25,0.47338804297388765,1
1,Afternoon,Saturday,Winter,25-34,Male,West,10+ purchases,Mobile,0.35,0.6087083406054824,1
3,Night,Tuesday,Spring,25-34,Female,North,6-10 purchases,Mobile,1.0,0.804043215947698,1
2,Morning,Wednesday,Fall,25-34,Male,West,No purchases,Mobile,0.7,0.5645522327101588,1
2,Night,Sunday,Summer,18-24,Male,West,6-10 purchases,Desktop,0.75,0.6496116017033728,1
2,Night,Sunday,Fall,55+,Female,West,No purchases,Desktop,0.55,0.34150611123175495,0
1,Evening,Sunday,Summer,18-24,Female,West,No purchases,Mobile,0.55,0.6031354374728083,1
4,Morning,Wednesday,Fall,55+,Male,South,No purchases,Tablet,0.7,0.5022976158976663,0
2,Afternoon,Sunday,Winter,55+,Male,West,1-5 purchases,Mobile,0.4,0.46944552997384337,1
1,Night,Sunday,Fall,18-24,Male,North,No purchases,Mobile,0.7,0.5801773568881433,0
3,Afternoon,Thursday,Spring,18-24,Male,West,1-5 purchases,Tablet,0.3,0.4943515870443306,1
2,Afternoon,Sunday,Winter,35-44,Male,South,10+ purchases,Desktop,0.35,0.5444099467859231,1
4,Evening,Wednesday,Winter,18-24,Male,East,No purchases,Desktop,0.75,0.6791535331158388,0
3,Morning,Tuesday,Fall,45-54,Female,South,6-10 purchases,Desktop,0.65,0.5983121735067064,0
1,Morning,Sunday,Winter,18-24,Male,West,No purchases,Mobile,0.65,0.5351020574884692,1
1,Morning,Friday,Summer,25-34,Male,West,1-5 purchases,Mobile,0.25,0.5236049644681856,0
1,Evening,Tuesday,Spring,18-24,Female,East,6-10 purchases,Tablet,1.0,0.6494281814945603,1
2,Night,Tuesday,Winter,25-34,Male,East,1-5 purchases,Desktop,0.85,0.5719418401894023,1
3,Evening,Tuesday,Winter,25-34,Female,East,10+ purchases,Desktop,0.35,0.7095902293081706,1
3,Night,Tuesday,Spring,18-24,Female,East,10+ purchases,Desktop,0.6,0.716702032144945,0
2,Afternoon,Saturday,Winter,18-24,Male,East,6-10 purchases,Desktop,0.85,0.7099523775805239,1
4,Evening,Friday,Fall,45-54,Male,West,No purchases,Mobile,0.9,0.7707353034562591,1
2,Evening,Sunday,Summer,45-54,Female,East,1-5 purchases,Tablet,0.95,0.6906238373955231,1
1,Evening,Tuesday,Summer,25-34,Male,West,10+ purchases,Mobile,0.75,0.7635262507108119,1
2,Night,Saturday,Winter,18-24,Male,West,1-5 purchases,Tablet,0.45,0.42110078873640744,0
1,Morning,Wednesday,Summer,25-34,Male,North,6-10 purchases,Mobile,1.0,0.768610012825454,1
1,Morning,Tuesday,Spring,18-24,Female,South,1-5 purchases,Tablet,0.65,0.47217725026879287,1
2,Evening,Friday,Fall,35-44,Male,North,6-10 purchases,Desktop,0.55,0.6400638524706531,1
4,Evening,Thursday,Spring,18-24,Male,North,No purchases,Tablet,0.65,0.6760815966677878,0
3,Evening,Friday,Summer,55+,Female,North,No purchases,Desktop,0.6,0.6091592764951369,1
4,Morning,Wednesday,Winter,18-24,Male,East,No purchases,Desktop,0.5,0.6114234594444352,1
4,Morning,Monday,Fall,35-44,Male,East,No purchases,Desktop,0.05,0.5207768133755419,1
4,Morning,Thursday,Fall,25-34,Male,North,No purchases,Mobile,0.35,0.6792193983765558,0
4,Morning,Thursday,Spring,35-44,Male,North,No purchases,Desktop,0.8,0.6598414148626146,0
4,Night,Saturday,Fall,25-34,Female,West,No purchases,Desktop,0.8,0.5608717283878982,1
1,Morning,Sunday,Spring,35-44,Female,North,1-5 purchases,Mobile,0.65,0.6151319598116821,1
4,Evening,Friday,Fall,25-34,Male,West,No purchases,Mobile,0.95,0.7713868223296213,1
2,Night,Tuesday,Winter,35-44,Female,North,6-10 purchases,Desktop,0.5,0.5267326161725563,0
3,Evening,Wednesday,Winter,45-54,Female,East,6-10 purchases,Desktop,0.7,0.7051052384355488,1
2,Night,Monday,Winter,45-54,Male,East,6-10 purchases,Desktop,0.95,0.6252103136446707,1
1,Morning,Friday,Spring,18-24,Male,North,1-5 purchases,Mobile,0.55,0.671138073454861,0
1,Morning,Monday,Summer,25-34,Female,West,10+ purchases,Mobile,0.75,0.6936663722004455,0
2,Morning,Friday,Spring,35-44,Male,North,No purchases,Desktop,0.65,0.519840686154837,1
3,Night,Tuesday,Winter,25-34,Female,South,No purchases,Desktop,0.9,0.6024936471416998,1
3,Night,Thursday,Spring,18-24,Male,West,6-10 purchases,Mobile,0.1,0.6366737867134227,1
4,Night,Saturday,Summer,45-54,Male,West,No purchases,Tablet,0.95,0.6259300883237485,1
4,Evening,Monday,Fall,25-34,Male,North,No purchases,Desktop,0.55,0.7067346137412152,1
1,Night,Tuesday,Fall,45-54,Male,North,1-5 purchases,Mobile,0.25,0.5073957478873015,0
3,Night,Wednesday,Fall,25-34,Male,East,10+ purchases,Mobile,0.9,0.8266259116330309,1
1,Afternoon,Wednesday,Spring,18-24,Female,North,1-5 purchases,Desktop,0.2,0.4973066791732034,1
4,Morning,Monday,Summer,25-34,Male,East,No purchases,Tablet,0.85,0.6840127948120754,0
2,Afternoon,Wednesday,Spring,55+,Female,East,1-5 purchases,Desktop,0.1,0.4395290944304005,0
4,Afternoon,Tuesday,Summer,25-34,Male,West,No purchases,Mobile,0.55,0.6813633156061275,0
2,Night,Saturday,Summer,55+,Female,East,1-5 purchases,Desktop,0.7,0.609606089466539,1
1,Night,Thursday,Fall,55+,Female,North,No purchases,Tablet,1.0,0.397202517680593,1
1,Night,Wednesday,Winter,25-34,Male,West,10+ purchases,Desktop,0.2,0.4254836341055477,1
4,Night,Saturday,Winter,25-34,Female,West,No purchases,Desktop,0.25,0.48017737260674337,0
2,Morning,Wednesday,Spring,35-44,Male,West,No purchases,Desktop,0.35,0.4198467408683449,1
3,Morning,Saturday,Winter,18-24,Female,South,10+ purchases,Desktop,0.4,0.6479662692458377,1
2,Afternoon,Wednesday,Summer,35-44,Male,West,6-10 purchases,Desktop,0.7,0.5698621910105105,0
2,Evening,Monday,Fall,25-34,Female,West,No purchases,Tablet,0.6,0.44542804253677354,0
4,Evening,Tuesday,Spring,25-34,Female,West,No purchases,Desktop,0.45,0.6197147598165447,1
4,Night,Sunday,Winter,55+,Female,North,No purchases,Desktop,0.6,0.5781396398005202,0
3,Afternoon,Thursday,Fall,45-54,Female,East,10+ purchases,Tablet,0.95,0.7057709282184604,1
3,Night,Tuesday,Winter,25-34,Male,North,6-10 purchases,Desktop,0.45,0.6553943100238216,1
3,Morning,Tuesday,Winter,45-54,Female,North,10+ purchases,Mobile,0.35,0.704164695436362,1
4,Night,Friday,Winter,18-24,Male,East,1-5 purchases,Desktop,0.35,0.6248118873863578,1
1,Night,Sunday,Fall,25-34,Female,West,6-10 purchases,Mobile,1.0,0.6662666430634132,0
1,Night,Sunday,Winter,25-34,Male,South,10+ purchases,Mobile,0.4,0.6670134839314111,1
3,Morning,Thursday,Winter,35-44,Female,West,6-10 purchases,Desktop,0.65,0.5691749823127308,1
1,Morning,Sunday,Winter,35-44,Female,West,6-10 purchases,Mobile,1.0,0.5976219277969391,0
2,Morning,Sunday,Winter,25-34,Female,West,1-5 purchases,Mobile,0.45,0.5126216895069651,1
2,Evening,Wednesday,Fall,25-34,Male,East,No purchases,Desktop,0.5,0.5839397137537663,1
2,Morning,Sunday,Winter,18-24,Female,East,No purchases,Mobile,0.75,0.6124958596133967,1
3,Afternoon,Wednesday,Summer,25-34,Male,North,No purchases,Desktop,0.1,0.5975452325349119,1
3,Afternoon,Friday,Summer,35-44,Male,East,6-10 purchases,Desktop,1.0,0.7805700822029856,1
3,Afternoon,Thursday,Fall,25-34,Female,North,1-5 purchases,Mobile,0.45,0.6729643772281959,0
3,Night,Tuesday,Winter,18-24,Male,North,1-5 purchases,Mobile,0.1,0.5822259766959097,1
1,Morning,Wednesday,Fall,18-24,Male,East,10+ purchases,Mobile,0.05,0.6483198117971221,1
2,Morning,Monday,Winter,25-34,Female,West,No purchases,Mobile,0.4,0.471834284381592,0
1,Morning,Friday,Summer,18-24,Female,South,1-5 purchases,Mobile,0.3,0.6165087593958349,1
2,Afternoon,Monday,Fall,45-54,Male,West,1-5 purchases,Desktop,0.3,0.4026765632117966,0
1,Evening,Wednesday,Summer,18-24,Male,West,1-5 purchases,Mobile,0.25,0.6705292557457998,1
4,Evening,Tuesday,Winter,45-54,Male,South,1-5 purchases,Desktop,0.3,0.650577857154337,1
4,Afternoon,Sunday,Summer,18-24,Male,East,No purchases,Mobile,1.0,0.8333196321620316,1
2,Morning,Thursday,Winter,35-44,Female,South,1-5 purchases,Mobile,0.45,0.4985252007021754,0
3,Afternoon,Thursday,Spring,45-54,Male,West,10+ purchases,Tablet,0.25,0.6103453002602437,0
4,Afternoon,Sunday,Fall,45-54,Male,East,1-5 purchases,Desktop,0.8,0.726199018262264,1
2,Night,Wednesday,Spring,35-44,Male,North,No purchases,Desktop,0.45,0.5505829670917018,1
1,Morning,Monday,Winter,25-34,Female,North,1-5 purchases,Desktop,0.35,0.45601843580446,0
1,Morning,Sunday,Spring,18-24,Female,South,10+ purchases,Mobile,0.4,0.6769666934079145,0
3,Afternoon,Monday,Spring,55+,Female,East,10+ purchases,Mobile,0.45,0.7393980077282307,1
2,Afternoon,Tuesday,Winter,25-34,Male,West,No purchases,Desktop,0.15,0.36731544935283267,1
4,Evening,Wednesday,Summer,35-44,Female,South,No purchases,Tablet,0.65,0.6622220422280664,1
3,Afternoon,Tuesday,Spring,45-54,Female,East,10+ purchases,Desktop,0.3,0.7227106708213509,1
4,Night,Thursday,Winter,35-44,Female,North,No purchases,Desktop,0.95,0.6408664750438559,0
1,Evening,Monday,Winter,25-34,Female,North,10+ purchases,Mobile,1.0,0.7878131110799365,1
3,Night,Monday,Winter,35-44,Female,South,6-10 purchases,Desktop,0.4,0.5889332544979302,0
4,Afternoon,Thursday,Spring,18-24,Female,South,No purchases,Desktop,0.35,0.6315264918656276,1
3,Night,Thursday,Spring,35-44,Female,West,6-10 purchases,Desktop,0.6,0.6305365126123885,0
1,Morning,Wednesday,Winter,35-44,Female,South,No purchases,Mobile,0.75,0.5131222243032103,1
4,Evening,Monday,Fall,25-34,Female,East,No purchases,Tablet,0.75,0.6243134406472481,0
2,Morning,Monday,Winter,45-54,Male,North,1-5 purchases,Desktop,0.9,0.5390375076311338,1
2,Night,Monday,Summer,35-44,Female,South,No purchases,Mobile,0.8,0.6213587924439117,1
4,Afternoon,Friday,Summer,55+,Female,East,No purchases,Mobile,0.15,0.6201058572044235,1
3,Night,Friday,Spring,45-54,Male,North,10+ purchases,Desktop,0.05,0.6394644147216519,1
1,Afternoon,Thursday,Spring,35-44,Male,North,1-5 purchases,Desktop,0.65,0.58915346616744,1
1,Morning,Monday,Winter,18-24,Female,West,1-5 purchases,Mobile,0.45,0.478573467131005,1
2,Morning,Saturday,Fall,25-34,Female,North,1-5 purchases,Tablet,0.4,0.45757835440662065,1
4,Morning,Friday,Spring,35-44,Male,South,No purchases,Mobile,0.5,0.6779444724459833,1
4,Morning,Friday,Summer,55+,Male,North,No purchases,Desktop,0.35,0.6091236677178863,0
2,Night,Thursday,Fall,25-34,Male,East,1-5 purchases,Tablet,0.65,0.5101598069346439,1
2,Evening,Monday,Fall,25-34,Male,North,No purchases,Mobile,0.25,0.5811944669622285,0
2,Morning,Sunday,Winter,18-24,Male,South,1-5 purchases,Mobile,0.4,0.567763409630928,0
3,Night,Sunday,Spring,25-34,Female,South,6-10 purchases,Tablet,1.0,0.7124279630745793,1
2,Evening,Sunday,Winter,45-54,Male,East,No purchases,Desktop,0.95,0.6229155298322947,1
3,Evening,Saturday,Fall,35-44,Male,North,10+ purchases,Tablet,0.95,0.7770088006406338,0
2,Evening,Thursday,Fall,55+,Female,North,6-10 purchases,Desktop,0.75,0.6439221348052161,0
1,Evening,Wednesday,Summer,25-34,Female,South,No purchases,Mobile,0.75,0.6710788047847832,0
2,Morning,Friday,Fall,55+,Female,South,No purchases,Mobile,0.15,0.39027816280044214,0
2,Evening,Monday,Summer,25-34,Male,North,1-5 purchases,Desktop,0.45,0.67182018385764,1
4,Evening,Thursday,Winter,25-34,Female,West,No purchases,Mobile,0.95,0.7215319736485992,1
3,Afternoon,Sunday,Spring,45-54,Female,East,10+ purchases,Tablet,0.2,0.6490668857835304,1
1,Evening,Friday,Winter,25-34,Female,North,No purchases,Mobile,0.25,0.4817440257910281,1
1,Evening,Monday,Spring,25-34,Female,West,No purchases,Desktop,0.75,0.5078392507434082,0
1,Evening,Thursday,Winter,45-54,Male,West,10+ purchases,Mobile,0.25,0.5986916209412825,1
4,Morning,Monday,Fall,35-44,Female,North,No purchases,Mobile,0.75,0.6826494368614432,1
