P3,P6p4,P11p3,P16p2,P19p2,H5p2,H15p1,H40p4,target
7074.0,0.004963899962604,0.5074781179428101,0.5797286033630371,0.0366129018366336,0.0202438998967409,6.618784427642822,0.7740585803985596,130600.0
597.0,0.003870999906212,0.4799999892711639,0.695142388343811,0.0033501000143587,0.1707316935062408,7.163934230804443,0.1428571045398712,40500.0
1931.0,0.0023201999720185,0.4777472913265228,0.6835836172103882,0.0,0.1176470965147018,6.185847759246826,0.6875,28700.0
164.0,0.0,0.4925054013729095,0.7804877758026123,0.0,0.1000000014901161,6.619834899902344,1.0,28500.0
119.0,0.0,0.4806452095508575,0.7563024759292603,0.6722689270973206,0.0,6.161616325378418,0.0,24100.0
164.0,0.0,0.4316703081130981,0.7926828861236572,0.0548780001699924,0.25,5.053097248077393,0.5,14999.0
261.0,0.0,0.4813278019428253,0.7241379022598267,0.0,0.0,6.592178821563721,0.0,33200.0
32112.0,0.0237824991345405,0.5384665727615356,0.6148480176925659,0.2639822959899902,0.0696804970502853,6.711422920227051,0.2487805038690567,66300.0
1209.0,0.0054255998693406,0.523906409740448,0.6749380230903625,0.0041355998255312,0.0471380017697811,6.7313055992126465,0.5714285969734192,138000.0
1263.0,0.0213808007538318,0.5142539143562317,0.8859856724739075,0.0095012001693248,0.1142857000231742,6.551098346710205,0.0,140600.0
983.0,0.1223845034837722,0.5519146919250488,0.6714140176773071,0.0325534008443355,0.1136363968253135,7.842696666717529,0.4000000059604645,127000.0
4145.0,0.0060554998926818,0.473585307598114,0.6354643702507019,0.0291917994618415,0.1387560069561004,6.565237522125244,0.2068966031074524,46900.0
67.0,0.0053476002067327,0.4491978883743286,0.7014924883842468,0.0,0.1538462042808532,5.078431606292725,0.0,14999.0
921.0,0.0037609999999403,0.4876723885536194,0.723127007484436,0.3485341966152191,0.2131147980690002,5.945723533630371,0.3846153914928436,35300.0
342.0,0.0054496000520884,0.5422343015670776,0.6812865138053894,0.0058479998260736,0.0839999988675117,5.858974456787109,0.2857142984867096,65800.0
65.0,0.0,0.406360387802124,0.9076923131942748,0.0,0.0,5.0,0.0,14999.0
253.0,0.0008961000130511,0.3664875030517578,0.8656126260757446,0.0039526000618934,0.0,4.047618865966797,0.0,14999.0
505.0,0.0,0.3993743062019348,0.801980197429657,0.0,0.0380951985716819,4.692307472229004,0.25,18000.0
147.0,0.0,0.4825870990753174,0.7687075138092041,0.0136053999885916,0.0714285969734191,6.100840091705322,1.0,44200.0
1348.0,0.0006345000001601,0.4806472063064575,0.6609792113304138,0.0215134005993604,0.2285714000463485,6.044516563415527,0.625,30000.0
13242.0,0.0453286990523338,0.5256564021110535,0.660700798034668,0.0939434990286827,0.1980057060718536,5.679254531860352,0.2517985999584198,175500.0
389.0,0.0009442999726161,0.5033050179481506,0.7892031073570251,0.0,0.3461537957191467,6.280864238739014,0.5555555820465088,33700.0
57.0,0.0,0.5354838967323303,0.7368420958518982,0.0,0.1428571045398712,5.679999828338623,1.0,14999.0
