U,TimeOfDay,DayOfWeek,Seasonality,Age,Gender,Location,PurchaseHistory,DeviceType,A,P_click,R
2,Evening,Monday,Winter,25-34,Male,South,1-5 purchases,Desktop,0.4,0.5557877754859583,0
2,Afternoon,Wednesday,Summer,18-24,Male,West,6-10 purchases,Mobile,1.0,0.6969019634558337,0
4,Afternoon,Saturday,Winter,45-54,Male,North,No purchases,Mobile,0.3,0.469861725797979,1
3,Afternoon,Sunday,Spring,18-24,Female,South,6-10 purchases,Desktop,0.85,0.7524287458877827,1
4,Evening,Friday,Summer,35-44,Male,East,No purchases,Mobile,0.5,0.5791266493841295,0
1,Night,Saturday,Spring,25-34,Male,East,10+ purchases,Mobile,0.25,0.6276331630353287,0
4,Morning,Wednesday,Fall,35-44,Female,South,No purchases,Mobile,0.35,0.46606781671035336,1
3,Morning,Friday,Spring,35-44,Female,North,1-5 purchases,Desktop,0.75,0.6876502833437019,1
1,Night,Sunday,Winter,35-44,Male,South,10+ purchases,Mobile,0.7,0.6684816074222912,0
2,Afternoon,Monday,Summer,35-44,Female,North,10+ purchases,Mobile,0.25,0.5216686570657781,1
4,Evening,Wednesday,Fall,35-44,Female,East,No purchases,Desktop,0.5,0.4801110122250926,1
1,Morning,Friday,Summer,25-34,Male,West,6-10 purchases,Mobile,0.3,0.7017672249078647,1
2,Evening,Tuesday,Summer,18-24,Female,South,1-5 purchases,Tablet,0.7,0.5870570420900109,1
4,Night,Sunday,Fall,18-24,Male,West,1-5 purchases,Tablet,0.6,0.5248205269645116,1
2,Night,Wednesday,Spring,25-34,Male,South,6-10 purchases,Mobile,0.6,0.5759253684240055,1
4,Night,Wednesday,Winter,35-44,Male,South,No purchases,Mobile,0.15,0.40277084569140714,1
1,Evening,Tuesday,Fall,18-24,Male,East,1-5 purchases,Mobile,0.75,0.665676512473412,0
1,Morning,Friday,Fall,18-24,Female,North,10+ purchases,Mobile,0.75,0.7262297360285834,1
2,Evening,Friday,Fall,18-24,Male,South,No purchases,Desktop,0.35,0.49214720975674503,0
1,Evening,Sunday,Summer,18-24,Male,East,No purchases,Mobile,0.55,0.6969575309847958,1
2,Afternoon,Monday,Spring,45-54,Female,West,1-5 purchases,Mobile,0.55,0.48023033776742435,1
3,Afternoon,Monday,Summer,55+,Male,South,6-10 purchases,Tablet,0.3,0.6632260371443264,0
4,Morning,Monday,Winter,45-54,Male,North,No purchases,Desktop,0.4,0.455515581191852,1
1,Morning,Tuesday,Winter,45-54,Female,South,10+ purchases,Mobile,0.9,0.6644898112208171,1
3,Night,Monday,Winter,35-44,Female,North,6-10 purchases,Tablet,0.1,0.5688914233119385,0
3,Morning,Sunday,Spring,45-54,Male,East,6-10 purchases,Desktop,0.4,0.663590910829451,1
4,Morning,Thursday,Summer,18-24,Male,West,No purchases,Tablet,0.7,0.6194005908308935,1
1,Evening,Saturday,Winter,25-34,Female,North,10+ purchases,Mobile,0.65,0.6827021578001915,1
1,Night,Friday,Summer,25-34,Female,North,6-10 purchases,Mobile,0.9,0.7078367909692111,0
3,Evening,Wednesday,Spring,55+,Female,West,10+ purchases,Mobile,0.6,0.7337669482132195,0
1,Night,Thursday,Fall,25-34,Male,East,10+ purchases,Mobile,0.35,0.6469766825831831,0
4,Afternoon,Thursday,Winter,35-44,Female,South,No purchases,Mobile,0.1,0.4067469769168658,0
3,Afternoon,Monday,Summer,25-34,Female,East,6-10 purchases,Desktop,0.1,0.6586958502244016,1
4,Evening,Sunday,Fall,18-24,Male,South,No purchases,Mobile,0.6,0.594127837042614,1
2,Afternoon,Tuesday,Spring,18-24,Female,North,No purchases,Desktop,0.45,0.4438664045021598,0
4,Evening,Monday,Fall,25-34,Female,West,1-5 purchases,Desktop,0.6,0.5656521162401611,1
4,Morning,Wednesday,Fall,25-34,Male,South,No purchases,Desktop,0.85,0.5740938801283116,1
4,Afternoon,Saturday,Summer,25-34,Male,West,No purchases,Mobile,0.35,0.5696334875001763,0
1,Afternoon,Thursday,Summer,25-34,Male,South,6-10 purchases,Mobile,0.15,0.669298810070213,0
4,Evening,Friday,Summer,35-44,Male,North,1-5 purchases,Desktop,0.55,0.6135105609814411,1
3,Morning,Monday,Fall,55+,Female,East,1-5 purchases,Desktop,0.25,0.5417054624837294,1
2,Morning,Friday,Fall,35-44,Female,South,No purchases,Mobile,1.0,0.5453414118860685,0
2,Night,Wednesday,Fall,45-54,Female,West,1-5 purchases,Desktop,0.45,0.45595215741943884,0
3,Afternoon,Friday,Summer,25-34,Female,East,6-10 purchases,Desktop,0.15,0.6705713320914313,0
2,Afternoon,Wednesday,Winter,45-54,Female,West,No purchases,Mobile,0.25,0.3657077355696238,1
4,Morning,Tuesday,Spring,35-44,Male,South,No purchases,Tablet,0.75,0.5144376601571546,1
3,Evening,Friday,Winter,55+,Female,East,10+ purchases,Mobile,0.65,0.6616727781467755,1
2,Evening,Friday,Winter,35-44,Male,East,No purchases,Desktop,0.3,0.4495983079884272,0
1,Morning,Thursday,Summer,35-44,Female,East,6-10 purchases,Mobile,0.25,0.6655143310773084,1
1,Evening,Sunday,Summer,25-34,Male,North,1-5 purchases,Mobile,0.9,0.7420057325958591,1
1,Morning,Wednesday,Spring,25-34,Male,West,1-5 purchases,Desktop,0.85,0.6912160963078652,1
3,Morning,Saturday,Fall,35-44,Female,West,6-10 purchases,Desktop,0.85,0.7444577094500442,0
3,Evening,Monday,Fall,35-44,Male,North,1-5 purchases,Desktop,0.6,0.6729220250696858,1
4,Evening,Sunday,Winter,18-24,Male,South,No purchases,Tablet,0.8,0.585207220627842,0
2,Afternoon,Thursday,Summer,25-34,Male,North,1-5 purchases,Desktop,0.9,0.6384570099849683,1
3,Morning,Friday,Spring,18-24,Female,West,1-5 purchases,Desktop,0.9,0.6818087180141067,1
3,Evening,Friday,Fall,45-54,Male,South,1-5 purchases,Tablet,0.85,0.6705589845144136,1
4,Morning,Thursday,Fall,35-44,Female,South,No purchases,Mobile,0.15,0.40998762091326313,1
4,Evening,Thursday,Winter,18-24,Female,North,No purchases,Tablet,0.8,0.5457179608359678,0
4,Evening,Thursday,Winter,18-24,Male,South,No purchases,Desktop,0.85,0.5646305553215099,0
2,Night,Monday,Spring,35-44,Female,West,6-10 purchases,Mobile,0.1,0.5519249297951679,0
1,Afternoon,Monday,Summer,25-34,Male,North,1-5 purchases,Mobile,0.4,0.6556019735837283,0
3,Morning,Saturday,Winter,18-24,Female,North,10+ purchases,Desktop,0.4,0.6748758224167765,0
1,Evening,Sunday,Fall,18-24,Female,North,10+ purchases,Mobile,0.8,0.7889637393266475,1
1,Morning,Sunday,Fall,18-24,Male,South,6-10 purchases,Mobile,0.65,0.7184590462660149,0
1,Evening,Wednesday,Summer,25-34,Male,East,6-10 purchases,Desktop,0.75,0.7755192902662392,1
3,Morning,Friday,Summer,45-54,Female,South,10+ purchases,Tablet,0.3,0.6812706610731425,1
4,Evening,Sunday,Summer,45-54,Male,West,No purchases,Mobile,0.9,0.6449861521532215,1
4,Morning,Sunday,Summer,25-34,Male,West,No purchases,Tablet,0.5,0.5404566840961098,1
1,Morning,Tuesday,Winter,18-24,Male,West,1-5 purchases,Mobile,0.1,0.5626243714073209,1
4,Night,Monday,Spring,45-54,Male,East,1-5 purchases,Mobile,0.45,0.5175849350974259,1
1,Morning,Sunday,Fall,25-34,Male,North,1-5 purchases,Desktop,0.85,0.657222978979397,1
3,Night,Monday,Fall,55+,Male,East,10+ purchases,Desktop,0.05,0.6087496322278897,1
1,Night,Sunday,Fall,25-34,Male,West,10+ purchases,Desktop,0.4,0.6491967630906229,1
4,Evening,Sunday,Summer,25-34,Male,North,No purchases,Tablet,0.65,0.6358621526947305,0
1,Evening,Monday,Winter,35-44,Male,South,No purchases,Mobile,0.7,0.635119325127439,0
3,Night,Sunday,Summer,35-44,Female,South,10+ purchases,Mobile,0.7,0.7732029480775527,1
4,Morning,Thursday,Spring,55+,Female,South,No purchases,Desktop,0.75,0.5158471120124722,1
1,Night,Tuesday,Fall,25-34,Female,South,1-5 purchases,Mobile,0.65,0.5917006616760703,0
1,Night,Thursday,Winter,55+,Male,North,6-10 purchases,Mobile,0.3,0.5316622531335999,1
2,Afternoon,Wednesday,Summer,35-44,Male,East,No purchases,Desktop,0.95,0.5549462969968315,1
2,Morning,Monday,Summer,18-24,Male,West,No purchases,Tablet,0.8,0.5335297392031296,1
1,Night,Monday,Spring,25-34,Female,South,10+ purchases,Mobile,0.45,0.6837222142075678,0
4,Morning,Tuesday,Spring,35-44,Female,East,No purchases,Desktop,0.85,0.5187819128805276,1
4,Morning,Thursday,Summer,18-24,Male,South,No purchases,Mobile,0.7,0.6201056633213283,1
3,Evening,Saturday,Spring,45-54,Male,West,10+ purchases,Desktop,0.55,0.7727990157701552,0
4,Afternoon,Monday,Spring,35-44,Male,East,No purchases,Desktop,0.3,0.5133246642574424,0
4,Evening,Friday,Spring,25-34,Male,West,1-5 purchases,Tablet,0.6,0.5993056934755107,0
4,Night,Saturday,Fall,18-24,Female,East,No purchases,Mobile,0.9,0.5721019893610371,0
3,Night,Sunday,Fall,45-54,Male,South,10+ purchases,Desktop,0.75,0.7028609247598054,1
2,Afternoon,Saturday,Winter,45-54,Female,South,6-10 purchases,Desktop,0.45,0.46770223557685253,0
1,Evening,Thursday,Spring,25-34,Female,South,1-5 purchases,Mobile,0.6,0.6651819264769673,1
4,Evening,Monday,Summer,25-34,Male,North,No purchases,Mobile,1.0,0.6729926412635399,1
3,Evening,Wednesday,Winter,18-24,Male,West,10+ purchases,Mobile,0.95,0.7868654766762921,0
1,Morning,Sunday,Spring,35-44,Male,East,10+ purchases,Mobile,0.75,0.7607377887433455,0
3,Night,Friday,Winter,18-24,Female,East,6-10 purchases,Tablet,0.65,0.6243325892017253,1
3,Morning,Thursday,Spring,35-44,Female,North,1-5 purchases,Mobile,0.45,0.6609847961797534,0
1,Afternoon,Sunday,Fall,35-44,Female,East,6-10 purchases,Tablet,0.3,0.6009221483938008,1
3,Night,Wednesday,Winter,45-54,Male,South,6-10 purchases,Desktop,1.0,0.6536775179884571,1
3,Morning,Wednesday,Fall,45-54,Male,East,10+ purchases,Desktop,0.9,0.7409567291961259,1
3,Evening,Saturday,Spring,35-44,Female,East,6-10 purchases,Tablet,0.6,0.7439218685041968,0
2,Evening,Monday,Winter,18-24,Female,West,No purchases,Mobile,0.9,0.5614462983573463,0
1,Night,Sunday,Summer,45-54,Male,West,No purchases,Mobile,0.2,0.509009745832351,0
4,Afternoon,Saturday,Spring,25-34,Male,North,No purchases,Tablet,0.2,0.5069719234805264,1
1,Morning,Friday,Spring,35-44,Male,East,1-5 purchases,Mobile,0.75,0.7042253574261381,1
3,Morning,Friday,Spring,45-54,Male,South,6-10 purchases,Desktop,0.35,0.6968409500151191,1
3,Night,Saturday,Fall,18-24,Male,North,6-10 purchases,Mobile,0.9,0.7661339937307087,0
3,Night,Friday,Winter,55+,Female,East,6-10 purchases,Desktop,0.8,0.651106555304906,0
4,Night,Friday,Summer,18-24,Female,North,No purchases,Mobile,0.1,0.47766383485103525,1
2,Night,Saturday,Winter,18-24,Female,East,No purchases,Desktop,0.5,0.432729577339446,1
1,Morning,Tuesday,Winter,55+,Male,North,1-5 purchases,Mobile,0.25,0.5334781442188975,1
