U,TimeOfDay,DayOfWeek,Seasonality,Age,Gender,Location,PurchaseHistory,DeviceType,A,P_click,R
1,Afternoon,Thursday,Winter,25-34,Female,North,6-10 purchases,Tablet,0.55,0.5312272667281224,0
4,Night,Wednesday,Spring,35-44,Female,East,1-5 purchases,Desktop,0.85,0.6672026047589344,0
2,Afternoon,Saturday,Spring,18-24,Male,South,1-5 purchases,Desktop,0.8,0.6892667684313385,0
1,Afternoon,Monday,Summer,25-34,Female,West,1-5 purchases,Tablet,0.5,0.47943001024348547,1
4,Evening,Wednesday,Winter,35-44,Female,East,No purchases,Desktop,0.4,0.6326825582355455,0
4,Afternoon,Sunday,Winter,55+,Male,East,No purchases,Tablet,0.7,0.5830293999501294,0
4,Evening,Tuesday,Fall,18-24,Female,West,No purchases,Mobile,0.75,0.7374858750830703,0
4,Night,Saturday,Fall,35-44,Female,West,No purchases,Mobile,0.55,0.6362856941643731,1
2,Evening,Sunday,Fall,25-34,Female,North,No purchases,Desktop,0.45,0.5513873229952387,1
4,Afternoon,Sunday,Spring,25-34,Female,East,No purchases,Tablet,0.7,0.6588896245119279,1
2,Evening,Friday,Fall,45-54,Female,West,1-5 purchases,Mobile,0.45,0.5656248303263689,0
3,Afternoon,Saturday,Fall,55+,Male,South,10+ purchases,Tablet,0.6,0.6574588624124106,0
1,Night,Sunday,Fall,25-34,Female,North,6-10 purchases,Mobile,0.3,0.5767854078640874,1
4,Morning,Sunday,Winter,25-34,Male,North,No purchases,Mobile,0.2,0.6510394875745045,0
3,Evening,Thursday,Fall,45-54,Female,South,6-10 purchases,Mobile,0.25,0.6359353522668914,1
1,Night,Tuesday,Winter,18-24,Male,East,6-10 purchases,Desktop,0.55,0.5782064684328525,1
1,Afternoon,Friday,Fall,35-44,Female,East,10+ purchases,Desktop,0.75,0.643403792041656,0
1,Evening,Sunday,Summer,25-34,Male,North,10+ purchases,Mobile,0.45,0.816199919318861,1
3,Night,Saturday,Summer,45-54,Female,South,1-5 purchases,Mobile,0.65,0.7234187344229814,0
2,Morning,Saturday,Summer,35-44,Male,East,6-10 purchases,Mobile,0.45,0.7551693936927253,1
