U,TimeOfDay,DayOfWeek,Seasonality,Age,Gender,Location,PurchaseHistory,DeviceType,A,P_click,R
4,Morning,Monday,Summer,25-34,Female,North,No purchases,Mobile,0.85,0.751848755860653,1
4,Evening,Wednesday,Fall,55+,Male,South,No purchases,Mobile,0.4,0.6589727601618256,1
2,Evening,Sunday,Spring,25-34,Female,West,No purchases,Mobile,0.85,0.7136098101477588,0
2,Evening,Wednesday,Spring,45-54,Female,North,10+ purchases,Mobile,0.55,0.7415747386183086,1
3,Night,Friday,Spring,55+,Male,South,10+ purchases,Desktop,0.8,0.6843045379596008,0
2,Night,Thursday,Fall,55+,Female,North,6-10 purchases,Desktop,0.1,0.3597931080847873,0
2,Night,Monday,Spring,35-44,Male,South,No purchases,Tablet,0.25,0.3620396254995947,0
4,Afternoon,Friday,Spring,35-44,Female,West,No purchases,Tablet,0.65,0.6004776160864033,1
3,Night,Saturday,Summer,45-54,Male,North,6-10 purchases,Tablet,0.8,0.7182089387833017,1
2,Morning,Monday,Fall,45-54,Female,North,No purchases,Tablet,0.15,0.32506584460249693,0
2,Evening,Saturday,Fall,25-34,Female,West,1-5 purchases,Desktop,0.9,0.6701535949040961,1
4,Evening,Friday,Summer,25-34,Female,East,No purchases,Mobile,0.75,0.7805990640072208,0
2,Morning,Sunday,Winter,25-34,Female,East,6-10 purchases,Desktop,0.9,0.5981873464895829,0
4,Night,Monday,Summer,45-54,Male,South,No purchases,Desktop,1.0,0.7011506905590796,0
3,Afternoon,Wednesday,Summer,25-34,Male,South,10+ purchases,Desktop,0.95,0.8053342342717812,1
4,Evening,Friday,Fall,18-24,Male,South,No purchases,Desktop,0.35,0.6710270928181629,1
4,Night,Monday,Summer,35-44,Female,South,No purchases,Desktop,0.2,0.5658657017928643,0
3,Evening,Saturday,Summer,45-54,Female,South,10+ purchases,Desktop,0.4,0.7245743891710057,1
1,Morning,Sunday,Spring,25-34,Female,West,No purchases,Mobile,1.0,0.6238629003692974,1
4,Night,Thursday,Fall,45-54,Male,East,No purchases,Mobile,0.75,0.6953878095995266,0
2,Afternoon,Thursday,Summer,35-44,Male,West,1-5 purchases,Desktop,0.2,0.5280435520033747,0
4,Night,Tuesday,Summer,35-44,Female,South,No purchases,Mobile,0.05,0.561415913539743,1
3,Night,Monday,Fall,25-34,Female,South,10+ purchases,Tablet,0.6,0.6641133731863855,1
2,Night,Tuesday,Winter,35-44,Female,West,6-10 purchases,Desktop,0.85,0.5581564180586076,1
3,Afternoon,Sunday,Winter,35-44,Male,North,6-10 purchases,Tablet,0.6,0.6375169749200356,1
4,Night,Sunday,Summer,55+,Male,North,No purchases,Desktop,0.65,0.6138605577571572,1
3,Night,Tuesday,Fall,25-34,Female,East,1-5 purchases,Mobile,0.15,0.5432685365188257,1
3,Evening,Sunday,Fall,18-24,Male,North,1-5 purchases,Desktop,0.95,0.7610395067514023,0
1,Afternoon,Wednesday,Summer,18-24,Male,North,1-5 purchases,Mobile,0.55,0.645415290230243,0
4,Morning,Wednesday,Summer,25-34,Female,West,No purchases,Tablet,0.25,0.5425145716023759,1
4,Evening,Tuesday,Spring,25-34,Male,South,No purchases,Mobile,0.7,0.8015014812923211,0
4,Night,Sunday,Fall,35-44,Male,West,No purchases,Desktop,0.85,0.6514295406331068,1
4,Morning,Sunday,Winter,25-34,Male,South,No purchases,Mobile,0.75,0.6983159472255084,1
2,Afternoon,Wednesday,Summer,18-24,Female,East,1-5 purchases,Desktop,0.45,0.5402914435542382,0
3,Evening,Friday,Winter,55+,Female,West,10+ purchases,Mobile,0.5,0.7057773958332326,1
4,Morning,Wednesday,Fall,35-44,Female,East,1-5 purchases,Mobile,0.45,0.6437926749235473,1
2,Morning,Monday,Winter,55+,Female,South,6-10 purchases,Desktop,0.15,0.42625237180549236,1
4,Afternoon,Wednesday,Summer,35-44,Male,North,No purchases,Tablet,0.65,0.6409701012954835,0
3,Afternoon,Thursday,Fall,18-24,Female,South,10+ purchases,Desktop,0.35,0.6636088999063507,1
4,Afternoon,Monday,Summer,25-34,Female,North,No purchases,Tablet,0.85,0.6881645578335772,1
2,Afternoon,Saturday,Spring,18-24,Male,North,10+ purchases,Desktop,0.35,0.6871693766003908,1
2,Night,Thursday,Fall,55+,Female,West,No purchases,Mobile,0.25,0.41290097663639735,0
3,Night,Tuesday,Summer,35-44,Female,South,10+ purchases,Tablet,0.55,0.6870518896234556,1
4,Morning,Friday,Summer,18-24,Male,North,No purchases,Mobile,0.9,0.7706496501422467,1
2,Night,Saturday,Winter,25-34,Female,North,1-5 purchases,Tablet,0.4,0.46643244559528807,1
1,Morning,Wednesday,Summer,25-34,Female,East,10+ purchases,Mobile,0.8,0.7205680820185953,1
4,Evening,Friday,Spring,18-24,Male,South,No purchases,Desktop,0.3,0.6867309116686482,1
1,Morning,Wednesday,Summer,25-34,Female,West,1-5 purchases,Tablet,0.7,0.5013932776570519,1
2,Afternoon,Sunday,Summer,35-44,Female,East,1-5 purchases,Desktop,1.0,0.6672557385849762,1
2,Evening,Saturday,Winter,55+,Male,East,1-5 purchases,Tablet,0.75,0.539872195666522,1
3,Afternoon,Wednesday,Winter,25-34,Female,West,1-5 purchases,Desktop,0.45,0.5625352922904648,0
3,Night,Monday,Spring,45-54,Female,West,10+ purchases,Desktop,0.7,0.69682873114931,1
4,Evening,Friday,Winter,25-34,Female,North,No purchases,Mobile,0.8,0.7371237659240831,1
2,Night,Tuesday,Spring,25-34,Female,East,No purchases,Tablet,0.15,0.34213680896481324,1
2,Evening,Monday,Summer,45-54,Female,West,1-5 purchases,Mobile,0.3,0.6527944596822062,0
2,Night,Sunday,Spring,45-54,Male,South,6-10 purchases,Tablet,0.5,0.5612740942445924,1
2,Afternoon,Sunday,Spring,35-44,Female,North,1-5 purchases,Desktop,0.3,0.5349869482166681,0
1,Afternoon,Tuesday,Fall,18-24,Male,North,1-5 purchases,Mobile,0.6,0.5753771329790469,1
2,Afternoon,Wednesday,Winter,35-44,Female,South,No purchases,Mobile,0.75,0.5958823733710031,0
3,Afternoon,Tuesday,Summer,18-24,Male,East,10+ purchases,Desktop,0.45,0.7800537225126891,1
4,Morning,Thursday,Winter,45-54,Female,East,1-5 purchases,Tablet,0.9,0.5730357817089631,0
4,Evening,Sunday,Winter,35-44,Female,North,1-5 purchases,Mobile,0.75,0.7779948991087872,0
4,Morning,Friday,Fall,35-44,Female,South,No purchases,Mobile,0.5,0.6776389926366646,1
1,Night,Saturday,Winter,25-34,Male,East,10+ purchases,Mobile,0.75,0.6944293096640104,0
2,Morning,Tuesday,Winter,55+,Male,South,6-10 purchases,Tablet,0.25,0.35155862893612033,1
4,Afternoon,Saturday,Summer,18-24,Female,North,No purchases,Tablet,0.7,0.6767129330578706,1
3,Afternoon,Sunday,Winter,45-54,Female,South,6-10 purchases,Desktop,0.3,0.5607862853930352,1
1,Morning,Tuesday,Fall,35-44,Female,North,1-5 purchases,Mobile,0.4,0.48214504941336245,0
2,Night,Friday,Summer,18-24,Male,East,1-5 purchases,Desktop,1.0,0.6570124799212783,0
2,Evening,Wednesday,Spring,45-54,Female,East,6-10 purchases,Desktop,1.0,0.7297037918451136,1
2,Morning,Wednesday,Spring,25-34,Female,North,No purchases,Mobile,0.4,0.5153290388149648,0
2,Evening,Sunday,Winter,25-34,Female,North,1-5 purchases,Tablet,0.4,0.5095921466518339,1
1,Night,Wednesday,Spring,18-24,Male,East,6-10 purchases,Desktop,0.25,0.5453930457563689,0
3,Night,Monday,Winter,55+,Female,North,10+ purchases,Mobile,0.55,0.6748417596333866,1
2,Morning,Wednesday,Fall,25-34,Male,North,1-5 purchases,Desktop,0.45,0.5197640818802698,0
1,Evening,Thursday,Summer,25-34,Female,North,10+ purchases,Desktop,0.85,0.7395514618667215,1
1,Evening,Saturday,Fall,25-34,Male,East,6-10 purchases,Mobile,0.65,0.7268704252473595,1
3,Night,Sunday,Fall,35-44,Female,East,1-5 purchases,Mobile,0.5,0.6862601582362434,0
1,Evening,Saturday,Winter,35-44,Female,South,1-5 purchases,Tablet,0.95,0.5579881498797258,0
1,Afternoon,Sunday,Spring,35-44,Female,North,No purchases,Mobile,0.3,0.527487789818428,1
4,Night,Thursday,Summer,35-44,Female,West,No purchases,Mobile,0.6,0.6754690190763462,1
4,Night,Saturday,Fall,25-34,Male,West,No purchases,Desktop,0.8,0.6597095743313569,0
3,Evening,Wednesday,Spring,55+,Male,West,1-5 purchases,Mobile,1.0,0.7485730864417808,1
4,Afternoon,Monday,Winter,35-44,Male,East,No purchases,Desktop,0.45,0.6194415788062002,0
1,Night,Wednesday,Summer,45-54,Female,West,No purchases,Mobile,0.45,0.48945036240810685,1
1,Afternoon,Friday,Spring,25-34,Male,North,1-5 purchases,Tablet,0.7,0.5086510909921059,0
3,Morning,Tuesday,Spring,25-34,Male,North,10+ purchases,Mobile,0.05,0.7166968504325694,1
1,Afternoon,Sunday,Fall,18-24,Male,West,1-5 purchases,Desktop,0.2,0.5300431960874443,1
3,Night,Saturday,Winter,55+,Female,North,6-10 purchases,Desktop,0.95,0.6200659505669599,0
4,Afternoon,Tuesday,Summer,18-24,Male,North,No purchases,Mobile,0.9,0.7868943742176919,1
4,Morning,Wednesday,Winter,18-24,Male,South,No purchases,Mobile,0.65,0.6730641983509662,1
2,Evening,Saturday,Winter,18-24,Male,West,6-10 purchases,Mobile,0.4,0.7250421664050264,1
4,Night,Tuesday,Spring,35-44,Female,North,No purchases,Tablet,0.6,0.6044066463297519,1
2,Night,Wednesday,Fall,45-54,Male,North,No purchases,Mobile,0.8,0.5795460556654122,0
2,Evening,Wednesday,Fall,35-44,Male,East,No purchases,Mobile,0.85,0.620989580116605,0
2,Night,Saturday,Spring,25-34,Female,West,No purchases,Desktop,0.2,0.4074065139141859,1
1,Night,Monday,Summer,18-24,Female,North,6-10 purchases,Mobile,0.75,0.6899144441117564,1
2,Afternoon,Monday,Summer,55+,Female,West,1-5 purchases,Desktop,0.25,0.4386265758549413,0
4,Evening,Friday,Spring,35-44,Female,South,No purchases,Mobile,0.85,0.7479141214380335,1
3,Evening,Wednesday,Spring,25-34,Female,South,1-5 purchases,Tablet,0.35,0.5762755463551467,1
4,Night,Friday,Spring,45-54,Female,West,No purchases,Desktop,0.9,0.6702299906182249,1
3,Morning,Tuesday,Summer,25-34,Male,North,10+ purchases,Mobile,0.45,0.735631617748649,0
