U,TimeOfDay,DayOfWeek,Seasonality,Age,Gender,Location,PurchaseHistory,DeviceType,A,P_click,R
1,Night,Sunday,Summer,18-24,Female,West,10+ purchases,Mobile,0.6,0.6926050775912589,1
4,Afternoon,Sunday,Winter,18-24,Male,East,No purchases,Mobile,0.7,0.771691165881411,1
2,Night,Wednesday,Fall,18-24,Male,West,No purchases,Desktop,0.15,0.3628091954398011,0
3,Night,Wednesday,Spring,45-54,Male,West,10+ purchases,Desktop,0.3,0.6067380204878916,1
2,Afternoon,Thursday,Summer,45-54,Male,South,1-5 purchases,Desktop,0.1,0.49538820092081287,1
4,Night,Thursday,Fall,25-34,Female,West,No purchases,Mobile,0.65,0.5961533578205181,1
2,Afternoon,Sunday,Winter,35-44,Male,North,No purchases,Tablet,0.7,0.4559510472902546,1
4,Night,Sunday,Winter,18-24,Male,East,No purchases,Mobile,0.35,0.6751033230170599,1
4,Morning,Saturday,Fall,25-34,Male,South,No purchases,Desktop,0.4,0.5728811085291188,0
3,Night,Wednesday,Fall,35-44,Male,South,6-10 purchases,Desktop,0.85,0.6917808923956914,1
1,Afternoon,Tuesday,Fall,35-44,Male,South,6-10 purchases,Mobile,0.8,0.6308215901414856,0
4,Morning,Monday,Winter,18-24,Male,West,No purchases,Mobile,0.6,0.5514676684601849,1
2,Evening,Thursday,Winter,25-34,Male,West,6-10 purchases,Mobile,0.7,0.6966498530974092,0
1,Afternoon,Tuesday,Spring,25-34,Female,North,1-5 purchases,Tablet,0.85,0.5570472256057052,0
4,Evening,Wednesday,Winter,35-44,Male,North,No purchases,Mobile,0.85,0.7604452947042344,1
3,Night,Saturday,Fall,35-44,Male,West,6-10 purchases,Mobile,0.85,0.743302361342595,1
1,Morning,Tuesday,Summer,35-44,Female,West,6-10 purchases,Mobile,0.95,0.6639505876093066,1
2,Afternoon,Saturday,Winter,55+,Male,North,6-10 purchases,Tablet,0.8,0.5912687145856488,0
3,Morning,Saturday,Fall,18-24,Male,North,10+ purchases,Desktop,1.0,0.7914953703431177,0
1,Afternoon,Friday,Summer,25-34,Female,North,1-5 purchases,Mobile,0.15,0.5503909156073999,1
1,Evening,Sunday,Spring,25-34,Female,East,1-5 purchases,Desktop,0.5,0.6185435556063541,1
3,Night,Saturday,Summer,18-24,Male,East,6-10 purchases,Mobile,0.45,0.7693485070657182,1
3,Morning,Thursday,Winter,45-54,Female,North,6-10 purchases,Desktop,0.25,0.5778072351504421,0
2,Evening,Tuesday,Winter,35-44,Male,South,1-5 purchases,Desktop,0.6,0.5636678299361693,1
4,Morning,Thursday,Winter,18-24,Male,East,1-5 purchases,Desktop,0.3,0.6129942633145704,1
1,Morning,Sunday,Winter,25-34,Male,South,6-10 purchases,Mobile,0.8,0.6813298319118339,1
1,Morning,Friday,Winter,25-34,Female,West,6-10 purchases,Mobile,0.8,0.6205848978166041,1
3,Morning,Saturday,Fall,18-24,Female,North,10+ purchases,Mobile,0.5,0.735866736878917,1
2,Evening,Sunday,Fall,25-34,Female,East,No purchases,Desktop,0.75,0.6070750597882534,1
1,Evening,Friday,Summer,55+,Female,South,1-5 purchases,Desktop,0.25,0.5258655794972992,1
1,Afternoon,Friday,Spring,25-34,Male,West,6-10 purchases,Mobile,0.1,0.58958164739876,0
4,Evening,Tuesday,Spring,35-44,Male,West,No purchases,Mobile,0.25,0.6476950078634749,1
3,Evening,Tuesday,Fall,25-34,Male,East,1-5 purchases,Tablet,0.45,0.6191693490509886,1
4,Afternoon,Sunday,Winter,45-54,Male,West,No purchases,Mobile,0.3,0.5836886189187465,1
4,Evening,Saturday,Fall,35-44,Female,North,No purchases,Tablet,0.65,0.6614003862082131,1
2,Morning,Saturday,Summer,35-44,Male,North,6-10 purchases,Desktop,0.35,0.6589376331353084,1
2,Evening,Sunday,Spring,25-34,Female,South,No purchases,Desktop,0.9,0.6274247841305997,1
2,Afternoon,Wednesday,Spring,18-24,Male,North,1-5 purchases,Mobile,0.15,0.628884062700858,0
2,Afternoon,Wednesday,Spring,18-24,Female,East,10+ purchases,Desktop,0.25,0.6591131675899224,1
3,Night,Friday,Spring,45-54,Male,West,No purchases,Desktop,0.25,0.39814859564835486,1
4,Afternoon,Tuesday,Fall,25-34,Female,West,No purchases,Mobile,0.85,0.6465954486773786,0
4,Evening,Friday,Winter,25-34,Male,South,No purchases,Desktop,0.3,0.6052847081268236,1
1,Morning,Tuesday,Winter,18-24,Female,North,1-5 purchases,Mobile,0.4,0.527410890763715,0
3,Afternoon,Friday,Spring,25-34,Male,East,10+ purchases,Desktop,0.7,0.7832807878945813,1
4,Afternoon,Tuesday,Summer,25-34,Female,South,No purchases,Tablet,0.7,0.6787098122364258,0
3,Night,Thursday,Fall,55+,Female,West,6-10 purchases,Tablet,0.9,0.5397143439068325,0
2,Night,Thursday,Spring,45-54,Female,East,6-10 purchases,Desktop,0.1,0.489095680271484,0
1,Night,Sunday,Spring,45-54,Female,West,6-10 purchases,Mobile,0.25,0.5032636665330903,1
3,Afternoon,Saturday,Fall,45-54,Male,West,10+ purchases,Tablet,0.5,0.601919540190493,1
2,Morning,Thursday,Spring,45-54,Male,West,No purchases,Desktop,0.35,0.4103093483262896,1
3,Evening,Saturday,Winter,45-54,Female,North,10+ purchases,Desktop,0.55,0.6990552451515873,1
2,Evening,Thursday,Spring,25-34,Male,South,1-5 purchases,Tablet,0.55,0.509565463981662,1
2,Night,Friday,Spring,55+,Male,South,No purchases,Mobile,0.55,0.5069485505053397,0
3,Afternoon,Thursday,Spring,45-54,Female,North,10+ purchases,Tablet,1.0,0.7226824727091363,1
4,Afternoon,Saturday,Spring,18-24,Male,West,No purchases,Desktop,0.65,0.6438894362596161,1
4,Morning,Sunday,Summer,35-44,Female,West,1-5 purchases,Mobile,0.45,0.7141334674027293,0
4,Afternoon,Wednesday,Winter,18-24,Female,South,No purchases,Desktop,1.0,0.666942014831477,0
3,Night,Thursday,Spring,25-34,Female,East,6-10 purchases,Desktop,0.25,0.6409283245149328,0
2,Morning,Wednesday,Fall,35-44,Female,West,6-10 purchases,Desktop,0.25,0.4018500567598585,1
3,Night,Thursday,Spring,55+,Female,West,10+ purchases,Desktop,0.55,0.6115881156470084,1
4,Night,Friday,Fall,18-24,Male,East,No purchases,Mobile,0.25,0.6539921081557518,0
1,Evening,Thursday,Winter,18-24,Male,East,1-5 purchases,Mobile,0.95,0.7234073828825165,1
4,Evening,Wednesday,Winter,45-54,Male,East,No purchases,Desktop,0.8,0.6803828382136689,1
1,Evening,Saturday,Winter,25-34,Male,West,6-10 purchases,Mobile,0.4,0.6424857380200073,1
3,Night,Sunday,Summer,45-54,Male,East,6-10 purchases,Desktop,1.0,0.7812436731711332,1
4,Night,Sunday,Spring,18-24,Male,North,No purchases,Desktop,0.85,0.7053738142856886,1
4,Morning,Monday,Fall,18-24,Female,West,No purchases,Mobile,0.2,0.5490656579871054,1
4,Morning,Saturday,Spring,25-34,Female,South,No purchases,Mobile,0.4,0.6634554882008865,1
2,Evening,Thursday,Summer,35-44,Female,West,No purchases,Mobile,0.55,0.6034739184373487,0
1,Morning,Tuesday,Summer,25-34,Male,North,10+ purchases,Mobile,0.5,0.7542438861582113,1
4,Night,Wednesday,Summer,25-34,Female,West,No purchases,Mobile,0.85,0.7064094283861183,1
3,Evening,Saturday,Summer,25-34,Female,South,1-5 purchases,Desktop,0.75,0.7362429993456333,0
3,Afternoon,Sunday,Fall,25-34,Female,South,10+ purchases,Mobile,0.95,0.8353161099276746,1
4,Evening,Saturday,Fall,18-24,Female,East,No purchases,Tablet,0.95,0.7138450091272321,1
3,Afternoon,Monday,Spring,45-54,Male,West,1-5 purchases,Desktop,0.9,0.6125858812869023,0
3,Night,Wednesday,Winter,45-54,Female,East,No purchases,Tablet,0.45,0.4442843320355558,1
1,Evening,Wednesday,Fall,35-44,Male,East,6-10 purchases,Mobile,0.4,0.6732142477272458,1
2,Evening,Thursday,Fall,55+,Male,North,6-10 purchases,Mobile,0.95,0.7694798081160178,1
3,Morning,Wednesday,Winter,35-44,Female,East,6-10 purchases,Desktop,0.45,0.5202148830583936,1
4,Evening,Thursday,Summer,35-44,Female,East,No purchases,Tablet,0.5,0.6714673211649405,1
3,Evening,Monday,Winter,18-24,Male,South,10+ purchases,Tablet,0.25,0.66391407515615,0
1,Evening,Monday,Summer,18-24,Male,North,1-5 purchases,Mobile,0.25,0.7042418651904098,1
3,Afternoon,Tuesday,Winter,18-24,Female,North,6-10 purchases,Desktop,0.05,0.5732848192834376,0
3,Morning,Sunday,Winter,45-54,Female,North,No purchases,Tablet,0.6,0.48266244870666936,1
3,Afternoon,Sunday,Fall,45-54,Female,South,10+ purchases,Tablet,0.75,0.6400747391884338,1
4,Night,Tuesday,Fall,25-34,Male,East,No purchases,Mobile,0.5,0.6721455862488056,0
4,Night,Thursday,Summer,35-44,Female,South,No purchases,Mobile,0.55,0.6939053515974074,1
2,Afternoon,Monday,Spring,25-34,Female,North,1-5 purchases,Mobile,0.95,0.7345067118739596,0
1,Evening,Friday,Fall,45-54,Female,South,10+ purchases,Mobile,0.75,0.7221061442763581,1
4,Night,Friday,Fall,35-44,Female,East,No purchases,Mobile,0.5,0.6617408530861166,1
1,Evening,Monday,Spring,35-44,Male,South,1-5 purchases,Mobile,0.6,0.6871111721183943,0
4,Morning,Monday,Winter,35-44,Male,West,No purchases,Desktop,0.3,0.47371526432801847,1
1,Afternoon,Saturday,Fall,18-24,Male,South,6-10 purchases,Mobile,0.7,0.6914021869406941,0
4,Morning,Wednesday,Spring,55+,Male,West,No purchases,Desktop,0.05,0.4361617138818024,0
3,Morning,Tuesday,Summer,18-24,Female,North,6-10 purchases,Mobile,0.6,0.7334300421882032,1
1,Afternoon,Sunday,Summer,35-44,Female,North,6-10 purchases,Mobile,0.75,0.738525824801264,0
2,Evening,Monday,Summer,25-34,Male,East,1-5 purchases,Mobile,1.0,0.7702853450856327,1
1,Morning,Wednesday,Winter,35-44,Male,South,1-5 purchases,Mobile,0.15,0.4556523081960982,1
2,Morning,Friday,Summer,25-34,Male,North,6-10 purchases,Desktop,0.3,0.6452941461321319,0
1,Morning,Thursday,Summer,18-24,Male,West,6-10 purchases,Mobile,0.25,0.6013391476883173,0
3,Morning,Sunday,Summer,55+,Male,North,No purchases,Mobile,1.0,0.7409063777632463,1
4,Morning,Sunday,Spring,35-44,Female,South,No purchases,Mobile,0.2,0.6003943459604054,1
3,Afternoon,Monday,Fall,25-34,Male,West,6-10 purchases,Desktop,0.15,0.5621484601014841,1
4,Morning,Friday,Fall,18-24,Male,South,No purchases,Mobile,0.5,0.6985514160150191,0
4,Morning,Sunday,Winter,25-34,Male,West,No purchases,Mobile,0.75,0.6564822605915447,1
3,Evening,Monday,Winter,25-34,Female,South,1-5 purchases,Mobile,0.9,0.7724190737815854,1
2,Afternoon,Friday,Spring,18-24,Female,East,1-5 purchases,Desktop,0.7,0.6174465031151362,1
